Month,Metal,Price,LogReturn,Norm_2000M01_100
2000-02-01,Aluminum,1670.27,-0.005975156187377983,99.40426595567405
2000-03-01,Aluminum,1577.05,-0.05742927675837617,93.85638107934392
2000-04-01,Aluminum,1457.14,-0.07908040280005757,86.72007046444641
2000-05-01,Aluminum,1466.79,0.006600729181077902,87.29437950817722
2000-06-01,Aluminum,1506.31,0.02658661185861622,89.64636846239912
2000-07-01,Aluminum,1563.5,0.03726394642738828,93.0499678624991
2000-08-01,Aluminum,1527.63,-0.02320938309050913,90.9152046087557
2000-09-01,Aluminum,1601.21,0.04704207860754295,95.29423667483992
2000-10-01,Aluminum,1500.24,-0.06513449812326311,89.28511914680887
2000-11-01,Aluminum,1473.86,-0.01774028570045516,87.71514271430951
2000-12-01,Aluminum,1565.41,0.06026296090272787,93.16363939343444
2001-01-01,Aluminum,1615.65,0.03158958197094996,96.15361725426716
2001-02-01,Aluminum,1604.36,-0.007012429318328905,95.48170543004737
2001-03-01,Aluminum,1509.17,-0.06116509233507905,89.8165781893494
2001-04-01,Aluminum,1496.91,-0.0081568474396283,89.08693789130385
2001-05-01,Aluminum,1538.77,0.02758041260529964,91.57818934939415
2001-06-01,Aluminum,1466.13,-0.04835711979088497,87.25510034041946
2001-07-01,Aluminum,1416.39,-0.03451489512594108,84.29487942485777
2001-08-01,Aluminum,1377.08,-0.028146065706256,81.95538838764968
2001-09-01,Aluminum,1344.56,-0.02389849338575978,80.01999666722213
2001-10-01,Aluminum,1282.5,-0.04725552392338628,76.32656462018235
2001-11-01,Aluminum,1327.46,0.03445604379045442,79.00230913895302
2001-12-01,Aluminum,1344.63,0.01285154041875458,80.02416263956007
2002-01-01,Aluminum,1368.59,0.01766213050075827,81.45011545694764
2002-02-01,Aluminum,1369.34,0.0005478591627685603,81.49475087485418
2002-03-01,Aluminum,1405.0,0.02570843085018559,83.61701621158379
2002-04-01,Aluminum,1369.99,-0.02523386224238777,81.53343490370652
2002-05-01,Aluminum,1343.3,-0.01967416745649064,79.94500916513914
2002-06-01,Aluminum,1353.97,0.007911744584675695,80.58002237722285
2002-07-01,Aluminum,1338.09,-0.01179779365363842,79.63494179541505
2002-08-01,Aluminum,1291.6,-0.03536146411588437,76.86814102411502
2002-09-01,Aluminum,1301.25,0.0074435810450586,77.44245006784584
2002-10-01,Aluminum,1310.58,0.007144446373605007,77.99771466660317
2002-11-01,Aluminum,1372.2,0.04594550395400621,81.66496060180447
2002-12-01,Aluminum,1375.07,0.002089347638966288,81.83576546766015
2003-01-01,Aluminum,1378.284,0.002334608234028757,82.02704311186231
2003-02-01,Aluminum,1422.16,0.03133759548464443,84.63827457328541
2003-03-01,Aluminum,1389.274,-0.02339553409525141,82.68110076891946
2003-04-01,Aluminum,1332.013,-0.04208997670671,79.273275882591
2003-05-01,Aluminum,1398.488,0.04870032117063694,83.22946175637395
2003-06-01,Aluminum,1409.845,0.00808811626845074,83.90536101126003
2003-07-01,Aluminum,1436.087,0.01844228447963658,85.46712452686457
2003-08-01,Aluminum,1456.313,0.01398584544962844,86.67085247696814
2003-09-01,Aluminum,1415.568,-0.02837703522073731,84.2459590068322
2003-10-01,Aluminum,1474.25,0.04061852192053017,87.73835313162091
2003-11-01,Aluminum,1508.338,0.02285899650316914,89.7670626324184
2003-12-01,Aluminum,1554.905,0.03040606811569457,92.53844597329017
2004-01-01,Aluminum,1606.488,0.03263597937400942,95.60835098912086
2004-02-01,Aluminum,1685.625,0.04808598502050732,100.3181017449473
2004-03-01,Aluminum,1655.989,-0.01773800148292803,98.554348084843
2004-04-01,Aluminum,1729.738,0.04357153852508855,102.9434379984288
