"Date","Value"
"05/31/2024",5445.29
"06/28/2024",5632.18
"07/31/2024",5689.33
"08/30/2024",5814.52
"09/30/2024",5922.45
"10/31/2024",5857.09
"11/29/2024",6196.07
"12/31/2024",6039.09
"01/31/2025",6161.9
"02/28/2025",6047.28
"03/31/2025",5686.52
"04/30/2025",5625.64
"05/30/2025",5959.3
"06/30/2025",6233.67
"07/31/2025",6359.13
"08/29/2025",6461.82
"09/30/2025",6673.1
"10/31/2025",6861.5
"11/28/2025",6847.65
"12/31/2025",6845.5
